stage	q_idx	s_idx	ctx_idx	s_f_idx	q_frame	s_frame	q_aa_start	q_aa_end	s_aa_start	s_aa_end	q_seed_off	s_seed_off	raw_score	e_value	e_value_bits	hsp_list_order	ordering_method	linked_set	start_of_chain	link_id	chain_next_link_id
after_reevaluate	0	0	4	1	-2	2	16978	17081	89273	89376	16981	89276	450	inf	0x7ff0000000000000	5397	0	0	0	0	NA
after_reevaluate	0	0	4	1	-2	2	16122	16211	89046	89135	16125	89049	448	inf	0x7ff0000000000000	4485	0	0	0	0	NA
after_reevaluate	0	0	4	3	-2	-1	90150	90311	39277	39438	90156	39283	443	inf	0x7ff0000000000000	3674	0	0	0	0	NA
after_reevaluate	0	0	0	2	1	3	36784	36960	41549	41725	36839	41604	440	inf	0x7ff0000000000000	2115	0	0	0	0	NA
after_reevaluate	0	0	2	3	3	-1	79475	79565	30747	30837	79478	30750	439	inf	0x7ff0000000000000	2304	0	0	0	0	NA
after_reevaluate	0	0	4	5	-2	-3	90150	90311	38145	38306	90156	38151	432	inf	0x7ff0000000000000	3215	0	0	0	0	NA
after_reevaluate	0	0	1	5	2	-3	79475	79564	30746	30835	79478	30749	418	inf	0x7ff0000000000000	2168	0	0	0	0	NA
after_reevaluate	0	0	5	2	-3	3	16122	16206	89046	89130	16125	89049	413	inf	0x7ff0000000000000	4532	0	0	0	0	NA
after_reevaluate	0	0	0	4	1	-2	87979	88121	114686	114828	87996	114703	396	inf	0x7ff0000000000000	5820	0	0	0	0	NA
after_reevaluate	0	0	4	5	-2	-3	90002	90154	37993	38145	90041	38032	385	inf	0x7ff0000000000000	3193	0	0	0	0	NA
after_reevaluate	0	0	0	4	1	-2	47683	47883	69795	69995	47731	69843	376	inf	0x7ff0000000000000	3999	0	0	0	0	NA
after_reevaluate	0	0	0	0	1	1	43049	43178	44996	45125	43060	45007	368	inf	0x7ff0000000000000	2214	0	0	0	0	NA
after_reevaluate	0	0	1	0	2	1	30804	31020	58486	58702	30875	58557	367	inf	0x7ff0000000000000	2582	0	0	0	0	NA
after_reevaluate	0	0	2	3	3	-1	79578	79649	30850	30921	79581	30853	359	inf	0x7ff0000000000000	2305	0	0	0	0	NA
after_reevaluate	0	0	5	0	-3	1	17654	17733	83354	83433	17657	83357	359	inf	0x7ff0000000000000	3289	0	0	0	0	NA
after_reevaluate	0	0	4	3	-2	-1	90002	90154	39125	39277	90045	39168	349	inf	0x7ff0000000000000	3653	0	0	0	0	NA
after_reevaluate	0	0	5	0	-3	1	22935	23113	91473	91651	22944	91482	347	inf	0x7ff0000000000000	6515	0	0	0	0	NA
after_reevaluate	0	0	0	0	1	1	5538	5677	81742	81881	5559	81763	336	inf	0x7ff0000000000000	3238	0	0	0	0	NA
after_reevaluate	0	0	0	2	1	3	35593	35723	40303	40433	35624	40334	328	inf	0x7ff0000000000000	2101	0	0	0	0	NA
after_reevaluate	0	0	3	1	-1	2	12618	12714	47198	47294	12621	47201	325	inf	0x7ff0000000000000	2200	0	0	0	0	NA
after_reevaluate	0	0	0	3	1	-1	77954	78034	36450	36530	77962	36458	323	inf	0x7ff0000000000000	3534	0	0	0	0	NA
after_reevaluate	0	0	4	5	-2	-3	93540	93632	28461	28553	93557	28478	320	inf	0x7ff0000000000000	821	0	0	0	0	NA
after_reevaluate	0	0	4	2	-2	3	16224	16287	89141	89204	16227	89144	319	inf	0x7ff0000000000000	4536	0	0	0	0	NA
after_reevaluate	0	0	3	4	-1	-2	3267	3410	104669	104812	3286	104688	317	inf	0x7ff0000000000000	5236	0	0	0	0	NA
after_reevaluate	0	0	1	4	2	-2	79400	79465	30678	30743	79403	30681	313	inf	0x7ff0000000000000	2119	0	0	0	0	NA
after_reevaluate	0	0	0	2	1	3	19115	19214	104243	104342	19130	104258	311	inf	0x7ff0000000000000	5981	0	0	0	0	NA
after_reevaluate	0	0	3	5	-1	-3	86279	86359	28470	28550	86294	28485	309	inf	0x7ff0000000000000	825	0	0	0	0	NA
after_reevaluate	0	0	4	5	-2	-3	85363	85455	28454	28546	85383	28474	305	inf	0x7ff0000000000000	819	0	0	0	0	NA
after_reevaluate	0	0	0	5	1	-3	79966	80026	31237	31297	79969	31240	304	inf	0x7ff0000000000000	2225	0	0	0	0	NA
after_reevaluate	0	0	5	5	-3	-3	35447	35570	38033	38156	35481	38067	301	inf	0x7ff0000000000000	3200	0	0	0	0	NA
after_reevaluate	0	0	2	1	3	2	72664	72744	26575	26655	72676	26587	297	inf	0x7ff0000000000000	1300	0	0	0	0	NA
after_reevaluate	0	0	5	3	-3	-1	30924	31028	39184	39288	30941	39201	296	inf	0x7ff0000000000000	3660	0	0	0	0	NA
after_reevaluate	0	0	2	4	3	-2	13606	13735	108355	108484	13640	108389	296	inf	0x7ff0000000000000	5726	0	0	0	0	NA
after_reevaluate	0	0	4	5	-2	-3	84838	84924	28466	28552	84849	28477	295	inf	0x7ff0000000000000	820	0	0	0	0	NA
after_reevaluate	0	0	4	3	-2	-1	33867	33972	39183	39288	33882	39198	295	inf	0x7ff0000000000000	3658	0	0	0	0	NA
after_reevaluate	0	0	4	5	-2	-3	33867	33972	38051	38156	33882	38066	294	inf	0x7ff0000000000000	3199	0	0	0	0	NA
after_reevaluate	0	0	5	3	-3	-1	35447	35570	39165	39288	35481	39199	293	inf	0x7ff0000000000000	3659	0	0	0	0	NA
after_reevaluate	0	0	4	2	-2	3	17649	17733	83348	83432	17655	83354	293	inf	0x7ff0000000000000	3250	0	0	0	0	NA
after_reevaluate	0	0	3	1	-1	2	16222	16284	89139	89201	16225	89142	291	inf	0x7ff0000000000000	4490	0	0	0	0	NA
after_reevaluate	0	0	5	5	-3	-3	30924	31028	38052	38156	30941	38069	288	inf	0x7ff0000000000000	3201	0	0	0	0	NA
after_reevaluate	0	0	5	5	-3	-3	34668	34773	38051	38156	34688	38071	287	inf	0x7ff0000000000000	3205	0	0	0	0	NA
after_reevaluate	0	0	0	2	1	3	5381	5537	80449	80605	5393	80461	285	inf	0x7ff0000000000000	3091	0	0	0	0	NA
after_reevaluate	0	0	5	3	-3	-1	34668	34773	39183	39288	34688	39203	282	inf	0x7ff0000000000000	3665	0	0	0	0	NA
after_reevaluate	0	0	4	5	-2	-3	33119	33220	38055	38156	33135	38071	276	inf	0x7ff0000000000000	3203	0	0	0	0	NA
after_reevaluate	0	0	0	2	1	3	5538	5676	80610	80748	5559	80631	272	inf	0x7ff0000000000000	3110	0	0	0	0	NA
after_reevaluate	0	0	3	5	-1	-3	86153	86244	28320	28411	86166	28333	270	inf	0x7ff0000000000000	801	0	0	0	0	NA
after_reevaluate	0	0	2	2	3	3	5380	5538	81580	81738	5462	81662	264	inf	0x7ff0000000000000	3186	0	0	0	0	NA
after_reevaluate	0	0	2	2	3	3	42478	42594	101855	101971	42499	101876	263	inf	0x7ff0000000000000	5953	0	0	0	0	NA
after_reevaluate	0	0	2	5	3	-3	79399	79464	30677	30742	79402	30680	259	inf	0x7ff0000000000000	2166	0	0	0	0	NA
after_reevaluate	0	0	0	0	1	1	5381	5512	81581	81712	5393	81593	259	inf	0x7ff0000000000000	3215	0	0	0	0	NA
after_reevaluate	0	0	4	5	-2	-3	33282	33364	38222	38304	33309	38249	255	inf	0x7ff0000000000000	3229	0	0	0	0	NA
after_reevaluate	0	0	4	3	-2	-1	33284	33364	39356	39436	33289	39361	255	inf	0x7ff0000000000000	3685	0	0	0	0	NA
after_reevaluate	0	0	5	5	-3	-3	30330	30412	38221	38303	30358	38249	252	inf	0x7ff0000000000000	3230	0	0	0	0	NA
after_reevaluate	0	0	5	3	-3	-1	34836	34916	39355	39435	34849	39368	252	inf	0x7ff0000000000000	3688	0	0	0	0	NA
after_reevaluate	0	0	5	3	-3	-1	31781	31860	39356	39435	31784	39359	252	inf	0x7ff0000000000000	3684	0	0	0	0	NA
after_reevaluate	0	0	5	3	-3	-1	90149	90306	38145	38302	90184	38180	251	inf	0x7ff0000000000000	3583	0	0	0	0	NA
after_reevaluate	0	0	4	3	-2	-1	33119	33220	39187	39288	33135	39203	251	inf	0x7ff0000000000000	3663	0	0	0	0	NA
after_reevaluate	0	0	5	3	-3	-1	30330	30412	39353	39435	30338	39361	250	inf	0x7ff0000000000000	3686	0	0	0	0	NA
after_reevaluate	0	0	5	3	-3	-1	35635	35710	39360	39435	35642	39367	250	inf	0x7ff0000000000000	3687	0	0	0	0	NA
after_reevaluate	0	0	5	4	-3	-2	90154	90306	39281	39433	90199	39326	249	inf	0x7ff0000000000000	3162	0	0	0	0	NA
after_reevaluate	0	0	2	2	3	3	41928	42010	101314	101396	41947	101333	249	inf	0x7ff0000000000000	5934	0	0	0	0	NA
after_reevaluate	0	0	3	4	-1	-2	90150	90300	38145	38295	90164	38159	247	inf	0x7ff0000000000000	3090	0	0	0	0	NA
after_reevaluate	0	0	1	5	2	-3	72993	73043	28499	28549	72996	28502	246	inf	0x7ff0000000000000	829	0	0	0	0	NA
after_reevaluate	0	0	5	3	-3	-1	84130	84258	96848	96976	84191	96909	245	inf	0x7ff0000000000000	5650	0	0	0	0	NA
after_reevaluate	0	0	3	0	-1	1	28963	29090	109919	110046	29014	109970	245	inf	0x7ff0000000000000	6936	0	0	0	0	NA
after_reevaluate	0	0	5	5	-3	-3	32328	32431	38053	38156	32344	38069	244	inf	0x7ff0000000000000	3202	0	0	0	0	NA
after_reevaluate	0	0	5	5	-3	-3	35636	35710	38229	38303	35656	38249	243	inf	0x7ff0000000000000	3228	0	0	0	0	NA
after_reevaluate	0	0	5	5	-3	-3	31779	31860	38222	38303	31814	38257	242	inf	0x7ff0000000000000	3233	0	0	0	0	NA
after_reevaluate	0	0	5	5	-3	-3	34835	34916	38222	38303	34855	38242	242	inf	0x7ff0000000000000	3227	0	0	0	0	NA
after_reevaluate	0	0	5	3	-3	-1	32328	32431	39185	39288	32344	39201	240	inf	0x7ff0000000000000	3661	0	0	0	0	NA
after_reevaluate	0	0	3	1	-1	2	86152	86234	26572	26654	86167	26587	238	inf	0x7ff0000000000000	1301	0	0	0	0	NA
after_reevaluate	0	0	3	0	-1	1	28692	28790	109624	109722	28717	109649	238	inf	0x7ff0000000000000	6931	0	0	0	0	NA
after_reevaluate	0	0	3	1	-1	2	68776	68861	26574	26659	68786	26584	236	inf	0x7ff0000000000000	1299	0	0	0	0	NA
after_reevaluate	0	0	2	2	3	3	5532	5662	81736	81866	5563	81767	235	inf	0x7ff0000000000000	3201	0	0	0	0	NA
after_reevaluate	0	0	2	1	3	2	5380	5538	80449	80607	5437	80506	234	inf	0x7ff0000000000000	3028	0	0	0	0	NA
after_reevaluate	0	0	3	0	-1	1	17425	17464	89816	89855	17427	89818	230	inf	0x7ff0000000000000	6113	0	0	0	0	NA
after_reevaluate	0	0	2	4	3	-2	79827	79874	31099	31146	79830	31102	229	inf	0x7ff0000000000000	2172	0	0	0	0	NA
after_reevaluate	0	0	0	2	1	3	32828	32931	37766	37869	32850	37788	229	inf	0x7ff0000000000000	2071	0	0	0	0	NA
after_reevaluate	0	0	4	0	-2	1	90662	90778	119301	119417	90665	119304	228	inf	0x7ff0000000000000	7186	0	0	0	0	NA
after_reevaluate	0	0	0	0	1	1	94716	94832	119301	119417	94719	119304	227	inf	0x7ff0000000000000	7185	0	0	0	0	NA
after_reevaluate	0	0	0	3	1	-1	79420	79464	30698	30742	79423	30701	221	inf	0x7ff0000000000000	2302	0	0	0	0	NA
after_reevaluate	0	0	4	2	-2	3	22935	23123	91472	91660	22949	91486	221	inf	0x7ff0000000000000	5685	0	0	0	0	NA
after_reevaluate	0	0	4	3	-2	-1	69775	69838	10912	10975	69788	10925	220	inf	0x7ff0000000000000	444	0	0	0	0	NA
after_reevaluate	0	0	3	5	-1	-3	68772	68861	28317	28406	68789	28334	220	inf	0x7ff0000000000000	806	0	0	0	0	NA
after_reevaluate	0	0	0	2	1	3	35472	35541	40184	40253	35480	40192	219	inf	0x7ff0000000000000	2100	0	0	0	0	NA
after_reevaluate	0	0	0	2	1	3	36227	36299	41017	41089	36241	41031	217	inf	0x7ff0000000000000	2107	0	0	0	0	NA
after_reevaluate	0	0	5	2	-3	3	67320	67433	108234	108347	67362	108276	216	inf	0x7ff0000000000000	6101	0	0	0	0	NA
after_reevaluate	0	0	3	0	-1	1	28820	28912	109755	109847	28831	109766	215	inf	0x7ff0000000000000	6932	0	0	0	0	NA
after_reevaluate	0	0	0	4	1	-2	87782	87894	114462	114574	87797	114477	215	inf	0x7ff0000000000000	5811	0	0	0	0	NA
after_reevaluate	0	0	4	3	-2	-1	90014	90117	4146	4249	90061	4193	212	inf	0x7ff0000000000000	84	0	0	0	0	NA
after_reevaluate	0	0	4	5	-2	-3	85265	85341	28321	28397	85278	28334	211	inf	0x7ff0000000000000	803	0	0	0	0	NA
after_reevaluate	0	0	2	2	3	3	60772	60852	80449	80529	60778	80455	209	inf	0x7ff0000000000000	3084	0	0	0	0	NA
after_reevaluate	0	0	4	5	-2	-3	84697	84781	28300	28384	84728	28331	207	inf	0x7ff0000000000000	799	0	0	0	0	NA
after_reevaluate	0	0	5	5	-3	-3	31649	31720	38085	38156	31659	38095	206	inf	0x7ff0000000000000	3208	0	0	0	0	NA
after_reevaluate	0	0	1	4	2	-2	77953	77997	36449	36493	77957	36453	204	inf	0x7ff0000000000000	3045	0	0	0	0	NA
after_reevaluate	0	0	3	4	-1	-2	90021	90150	38012	38141	90044	38035	204	inf	0x7ff0000000000000	3077	0	0	0	0	NA
after_reevaluate	0	0	2	0	3	1	60772	60862	81581	81671	60780	81589	201	inf	0x7ff0000000000000	3210	0	0	0	0	NA
after_reevaluate	0	0	2	0	3	1	64664	64762	81732	81830	64671	81739	201	inf	0x7ff0000000000000	3233	0	0	0	0	NA
after_reevaluate	0	0	0	5	1	-3	80038	80080	31309	31351	80041	31312	200	inf	0x7ff0000000000000	2228	0	0	0	0	NA
after_reevaluate	0	0	5	3	-3	-1	32518	32572	39381	39435	32526	39389	200	inf	0x7ff0000000000000	3692	0	0	0	0	NA
after_reevaluate	0	0	2	2	3	3	59978	60054	80449	80525	59987	80458	200	inf	0x7ff0000000000000	3087	0	0	0	0	NA
after_reevaluate	0	0	0	4	1	-2	88744	88857	115543	115656	88792	115591	200	inf	0x7ff0000000000000	5831	0	0	0	0	NA
after_reevaluate	0	0	2	2	3	3	64664	64762	80600	80698	64669	80605	199	inf	0x7ff0000000000000	3103	0	0	0	0	NA
after_reevaluate	0	0	5	4	-3	-2	22942	23051	93227	93336	22952	93237	199	inf	0x7ff0000000000000	4977	0	0	0	0	NA
after_reevaluate	0	0	5	5	-3	-3	32518	32572	38249	38303	32526	38257	198	inf	0x7ff0000000000000	3234	0	0	0	0	NA
after_reevaluate	0	0	0	2	1	3	34093	34180	38762	38849	34167	38836	198	inf	0x7ff0000000000000	2085	0	0	0	0	NA
after_reevaluate	0	0	3	5	-1	-3	90151	90297	39277	39423	90175	39301	197	inf	0x7ff0000000000000	3301	0	0	0	0	NA
after_reevaluate	0	0	5	0	-3	1	16250	16287	89168	89205	16253	89171	196	inf	0x7ff0000000000000	5241	0	0	0	0	NA
after_reevaluate	0	0	3	5	-1	-3	86513	86580	28704	28771	86533	28724	195	inf	0x7ff0000000000000	848	0	0	0	0	NA
after_reevaluate	0	0	4	2	-2	3	93575	93628	26757	26810	93585	26767	193	inf	0x7ff0000000000000	1426	0	0	0	0	NA
after_reevaluate	0	0	3	4	-1	-2	34833	34911	39351	39429	34846	39364	193	inf	0x7ff0000000000000	3167	0	0	0	0	NA
after_reevaluate	0	0	5	3	-3	-1	31649	31720	39217	39288	31662	39230	192	inf	0x7ff0000000000000	3668	0	0	0	0	NA
after_reevaluate	0	0	3	3	-1	-1	34663	34774	38046	38157	34684	38067	191	inf	0x7ff0000000000000	3571	0	0	0	0	NA
after_reevaluate	0	0	5	5	-3	-3	31117	31172	38249	38304	31125	38257	191	inf	0x7ff0000000000000	3232	0	0	0	0	NA
after_reevaluate	0	0	0	2	1	3	62323	62406	80446	80529	62335	80458	191	inf	0x7ff0000000000000	3086	0	0	0	0	NA
after_reevaluate	0	0	5	3	-3	-1	34782	34837	39302	39357	34791	39311	189	inf	0x7ff0000000000000	3678	0	0	0	0	NA
after_reevaluate	0	0	2	1	3	2	5537	5660	80610	80733	5571	80644	189	inf	0x7ff0000000000000	3039	0	0	0	0	NA
after_reevaluate	0	0	2	0	3	1	59978	60054	81581	81657	59989	81592	189	inf	0x7ff0000000000000	3211	0	0	0	0	NA
after_reevaluate	0	0	0	0	1	1	10781	10857	91348	91424	10786	91353	189	inf	0x7ff0000000000000	6504	0	0	0	0	NA
after_reevaluate	0	0	5	5	-3	-3	34782	34837	38170	38225	34788	38176	188	inf	0x7ff0000000000000	3216	0	0	0	0	NA
after_reevaluate	0	0	5	3	-3	-1	31117	31172	39381	39436	31125	39389	187	inf	0x7ff0000000000000	3691	0	0	0	0	NA
after_reevaluate	0	0	0	4	1	-2	48321	48413	70419	70511	48345	70443	187	inf	0x7ff0000000000000	4012	0	0	0	0	NA
after_reevaluate	0	0	3	1	-1	2	17690	17734	83389	83433	17696	83395	187	inf	0x7ff0000000000000	3169	0	0	0	0	NA
after_reevaluate	0	0	4	3	-2	-1	34055	34109	39381	39435	34063	39389	186	inf	0x7ff0000000000000	3690	0	0	0	0	NA
after_reevaluate	0	0	2	2	3	3	65276	65356	80449	80529	65285	80458	186	inf	0x7ff0000000000000	3089	0	0	0	0	NA
after_reevaluate	0	0	0	0	1	1	61721	61819	81732	81830	61729	81740	184	inf	0x7ff0000000000000	3234	0	0	0	0	NA
after_reevaluate	0	0	2	5	3	-3	73528	73592	28707	28771	73544	28723	183	inf	0x7ff0000000000000	847	0	0	0	0	NA
after_reevaluate	0	0	4	5	-2	-3	34055	34109	38249	38303	34063	38257	183	inf	0x7ff0000000000000	3231	0	0	0	0	NA
after_reevaluate	0	0	5	3	-3	-1	31037	31089	39302	39354	31051	39316	183	inf	0x7ff0000000000000	3679	0	0	0	0	NA
after_reevaluate	0	0	5	4	-3	-2	49247	49298	63682	63733	49250	63685	183	inf	0x7ff0000000000000	3817	0	0	0	0	NA
after_reevaluate	0	0	3	0	-1	1	29419	29516	110392	110489	29475	110448	183	inf	0x7ff0000000000000	6958	0	0	0	0	NA
after_reevaluate	0	0	2	0	3	1	63263	63347	81734	81818	63266	81737	182	inf	0x7ff0000000000000	3232	0	0	0	0	NA
after_reevaluate	0	0	0	0	1	1	62323	62406	81578	81661	62341	81596	181	inf	0x7ff0000000000000	3218	0	0	0	0	NA
after_reevaluate	0	0	2	0	3	1	60912	60983	81725	81796	60921	81734	180	inf	0x7ff0000000000000	3230	0	0	0	0	NA
after_reevaluate	0	0	4	1	-2	2	85263	85335	26572	26644	85281	26590	179	inf	0x7ff0000000000000	1304	0	0	0	0	NA
after_reevaluate	0	0	2	5	3	-3	77954	77998	36450	36494	77962	36458	179	inf	0x7ff0000000000000	3127	0	0	0	0	NA
after_reevaluate	0	0	3	5	-1	-3	90026	90150	39148	39272	90053	39175	178	inf	0x7ff0000000000000	3292	0	0	0	0	NA
after_reevaluate	0	0	5	3	-3	-1	35578	35626	39304	39352	35582	39308	178	inf	0x7ff0000000000000	3677	0	0	0	0	NA
after_reevaluate	0	0	0	0	1	1	62476	62565	81735	81824	62491	81750	178	inf	0x7ff0000000000000	3237	0	0	0	0	NA
after_reevaluate	0	0	5	2	-3	3	67469	67572	108381	108484	67472	108384	178	inf	0x7ff0000000000000	6103	0	0	0	0	NA
after_reevaluate	0	0	3	3	-1	-1	34835	34911	38222	38298	34849	38236	177	inf	0x7ff0000000000000	3589	0	0	0	0	NA
after_reevaluate	0	0	0	2	1	3	61721	61819	80600	80698	61729	80608	177	inf	0x7ff0000000000000	3105	0	0	0	0	NA
after_reevaluate	0	0	2	0	3	1	65276	65356	81581	81661	65290	81595	176	inf	0x7ff0000000000000	3217	0	0	0	0	NA
after_reevaluate	0	0	5	3	-3	-1	31212	31281	39473	39542	31222	39483	175	inf	0x7ff0000000000000	3708	0	0	0	0	NA
after_reevaluate	0	0	5	5	-3	-3	31037	31090	38170	38223	31051	38184	174	inf	0x7ff0000000000000	3217	0	0	0	0	NA
after_reevaluate	0	0	4	3	-2	-1	22942	23028	93227	93313	22952	93237	174	inf	0x7ff0000000000000	5581	0	0	0	0	NA
after_reevaluate	0	0	2	2	3	3	63263	63347	80602	80686	63268	80607	173	inf	0x7ff0000000000000	3104	0	0	0	0	NA
after_reevaluate	0	0	4	5	-2	-3	651	726	263	338	674	286	172	inf	0x7ff0000000000000	12	0	0	0	0	NA
after_reevaluate	0	0	0	5	1	-3	4705	4780	263	338	4728	286	172	inf	0x7ff0000000000000	11	0	0	0	0	NA
after_reevaluate	0	0	5	3	-3	-1	32433	32487	39297	39351	32444	39308	172	inf	0x7ff0000000000000	3676	0	0	0	0	NA
after_reevaluate	0	0	0	2	1	3	35744	35832	40487	40575	35804	40547	171	inf	0x7ff0000000000000	2102	0	0	0	0	NA
after_reevaluate	0	0	2	2	3	3	60912	60983	80593	80664	60921	80602	171	inf	0x7ff0000000000000	3102	0	0	0	0	NA
after_reevaluate	0	0	5	2	-3	3	17173	17208	89468	89503	17176	89471	171	inf	0x7ff0000000000000	5278	0	0	0	0	NA
after_reevaluate	0	0	4	4	-2	-2	90068	90121	37801	37854	90077	37810	170	inf	0x7ff0000000000000	3064	0	0	0	0	NA
after_reevaluate	0	0	4	0	-2	1	15550	15585	88474	88509	15553	88477	170	inf	0x7ff0000000000000	5163	0	0	0	0	NA
after_reevaluate	0	0	4	2	-2	3	17208	17242	89598	89632	17214	89604	170	inf	0x7ff0000000000000	5282	0	0	0	0	NA
after_reevaluate	0	0	2	2	3	3	42018	42072	101406	101460	42025	101413	170	inf	0x7ff0000000000000	5943	0	0	0	0	NA
after_reevaluate	0	0	1	2	2	3	72993	73044	26760	26811	73000	26767	169	inf	0x7ff0000000000000	1427	0	0	0	0	NA
after_reevaluate	0	0	2	3	3	-1	79667	79699	30939	30971	79670	30942	169	inf	0x7ff0000000000000	2309	0	0	0	0	NA
after_reevaluate	0	0	3	4	-1	-2	35629	35705	39353	39429	35664	39388	169	inf	0x7ff0000000000000	3173	0	0	0	0	NA
after_reevaluate	0	0	5	3	-3	-1	90041	90154	38033	38146	90053	38045	168	inf	0x7ff0000000000000	3568	0	0	0	0	NA
after_reevaluate	0	0	4	3	-2	-1	34153	34216	39479	39542	34169	39495	167	inf	0x7ff0000000000000	3711	0	0	0	0	NA
after_reevaluate	0	0	1	2	2	3	60775	60855	81583	81663	60779	81587	167	inf	0x7ff0000000000000	3179	0	0	0	0	NA
after_reevaluate	0	0	4	0	-2	1	90798	90909	119437	119548	90813	119452	167	inf	0x7ff0000000000000	7189	0	0	0	0	NA
after_reevaluate	0	0	5	5	-3	-3	35578	35626	38172	38220	35590	38184	165	inf	0x7ff0000000000000	3220	0	0	0	0	NA
after_reevaluate	0	0	5	3	-3	-1	30459	30522	39479	39542	30475	39495	165	inf	0x7ff0000000000000	3713	0	0	0	0	NA
