profile_id	option	gbdraw_required_value	losat_supported	losat_semantics_verified	status	evidence
P2	max_hsps	omitted/default 0 (all HSPs per subject)	YES	YES	COVERED	gbdraw@3f732825:gbdraw/analysis/protein_colinearity.py:6660-6701 and gbdraw/web/js/app/run-analysis.js:3217-3220; LOSAT/src/algorithm/blastp/args.rs:295-298; all P2 cases
P2	max_target_seqs	omitted (BLAST default 500) or explicit positive candidateLimit	YES	YES	COVERED	gbdraw@3f732825:gbdraw/analysis/protein_colinearity.py:6653-6701; LOSAT/src/algorithm/blastp/blast_engine.rs:6197-6228; all_hsp_forward_serial; all_hsp_reverse_limit5_serial
P2	outfmt	6 standard 12-column TSV	YES	YES	COVERED	gbdraw@3f732825:gbdraw/analysis/protein_colinearity.py:5872-5924; LOSAT/src/algorithm/blastp/blast_engine.rs:6327-6441; all P2 cases
P2	default scoring/filtering	BLOSUM62; gap 11/1; word size 3; composition mode 2; SEG off; search evalue 10	YES	YES	COVERED	gbdraw passes no overrides; LOSAT/src/algorithm/blastp/args.rs:510-580; all P2 cases use command-visible defaults
P2	num_threads	positive native thread count; serial Wasm fallback	YES	YES	COVERED	gbdraw@3f732825:gbdraw/analysis/protein_colinearity.py:5894-5923 and gbdraw/web/js/services/losat.js:262-277; all_hsp_forward_serial; all_hsp_forward_thread4; direct Wasm probe
P2	post-search thresholds	evalue 1e-5; bitscore 50; identity 70; alignment length 0 applied by gbdraw	N/A	N/A	OUT_OF_SCOPE	gbdraw@3f732825:gbdraw/analysis/protein_colinearity.py:6671-6707 and gbdraw/web/js/app/run-analysis.js:3558-3725; not BLASTP command options
P3	task	blastp default task	YES	YES	COVERED	gbdraw@3f732825:gbdraw/analysis/protein_colinearity.py:5872-5924; LOSAT/src/algorithm/blastp/args.rs:362-398; all_hsp_forward_serial
P3	query/subject mode	local self searches plus both directions for adjacent or all record pairs	YES	YES	COVERED	gbdraw@3f732825:gbdraw/web/js/app/run-analysis.js:3370-3391; all_hsp_forward_serial; all_hsp_reverse_limit5_serial; all_hsp_self_serial
P3	max_hsps	omitted/default 0 (all HSPs per subject)	YES	YES	COVERED	gbdraw@3f732825:gbdraw/web/js/app/run-analysis.js:3217-3220; LOSAT/src/algorithm/blastp/args.rs:295-298; all P3 cases
P3	max_target_seqs	omitted (BLAST default 500) or explicit positive candidateLimit	YES	YES	COVERED	gbdraw@3f732825:gbdraw/web/js/app/run-analysis.js:2577-2582 and 3217-3221; LOSAT/src/algorithm/blastp/blast_engine.rs:6197-6228; all_hsp_forward_serial; all_hsp_reverse_limit5_serial
P3	outfmt	6 standard 12-column TSV	YES	YES	COVERED	gbdraw@3f732825:gbdraw/web/js/app/run-analysis.js:3024-3047 and 3480-3510; LOSAT/src/algorithm/blastp/blast_engine.rs:6327-6441; all P3 cases
P3	default scoring/filtering	BLOSUM62; gap 11/1; word size 3; composition mode 2; SEG off; search evalue 10	YES	YES	COVERED	gbdraw passes no overrides; LOSAT/src/algorithm/blastp/args.rs:510-580; all P3 cases use command-visible defaults
P3	num_threads	positive native thread count; serial Wasm fallback	YES	YES	COVERED	gbdraw@3f732825:gbdraw/web/js/services/losat.js:262-277 and 743-827; all_hsp_forward_serial; all_hsp_forward_thread4; direct Wasm probe
P3	post-search thresholds	evalue 1e-5; bitscore 50; identity 70; alignment length 0 applied by gbdraw	N/A	N/A	OUT_OF_SCOPE	gbdraw@3f732825:gbdraw/web/js/app/run-analysis.js:3558-3725; not BLASTP command options
